,CodingHours,CoffeeCupsPerDay,CoffeeTime,CodingWithoutCoffee,CoffeeType,CoffeeSolveBugs,Gender,AgeRange
0,8,2,Before coding,Yes,Caffè latte,Sometimes,Female,18 to 29
1,3,2,Before coding,Yes,Americano,Yes,Female,30 to 39
2,5,3,While coding,No,Nescafe,Yes,Female,18 to 29
4,10,3,While coding,Sometimes,Turkish,No,Male,18 to 29
5,8,2,While coding,Sometimes,Nescafe,Yes,Male,30 to 39
7,10,4,Before coding,Sometimes,Turkish,Sometimes,Male,18 to 29
8,10,2,While coding,Yes,American Coffee,Sometimes,Male,30 to 39
9,10,2,While coding,Yes,Nescafe,No,Male,30 to 39
10,10,3,While coding,Sometimes,American Coffee,Sometimes,Male,30 to 39
11,2,3,Before coding,Sometimes,Turkish,Yes,Male,30 to 39
12,8,2,Before and while coding,No,Nescafe,Yes,Male,30 to 39
13,9,3,While coding,Sometimes,Nescafe,Yes,Male,30 to 39
14,6,1,Before coding,Yes,Nescafe,Sometimes,Male,18 to 29
15,6,3,While coding,No,Americano,Yes,Female,30 to 39
16,10,3,While coding,Sometimes,American Coffee,Sometimes,Male,30 to 39
17,6,4,While coding,Yes,Turkish,Sometimes,Male,30 to 39
18,8,3,While coding,No,Nescafe,No,Male,18 to 29
19,3,1,In the morning,Yes,Nescafe,Sometimes,Female,30 to 39
20,3,3,While coding,Yes,Espresso (Short Black),Sometimes,Male,18 to 29
21,9,5,While coding,Sometimes,Nescafe,Yes,Male,18 to 29
22,4,2,While coding,Sometimes,American Coffee,Sometimes,Male,18 to 29
23,8,3,While coding,No,Turkish,No,Male,40 to 49
24,5,3,While coding,Sometimes,Cappuccino,Sometimes,Male,Under 18
25,6,3,While coding,Yes,Nescafe,No,Female,30 to 39
26,7,4,Before coding,Sometimes,Espresso (Short Black),No,Male,30 to 39
27,8,4,While coding,Sometimes,Turkish,Yes,Male,30 to 39
28,7,1,Before coding,Yes,Nescafe,Yes,Male,30 to 39
29,2,2,While coding,Sometimes,American Coffee,Sometimes,Male,40 to 49
30,10,6,All the time,No,American Coffee,Yes,Male,30 to 39
31,2,2,While coding,No,Nescafe,Sometimes,Female,18 to 29
32,9,2,Before coding,Sometimes,Nescafe,Sometimes,Female,18 to 29
33,4,1,Before coding,Yes,Nescafe,No,Male,30 to 39
34,6,2,While coding,Sometimes,Espresso (Short Black),Sometimes,Male,18 to 29
35,2,2,While coding,Yes,American Coffee,No,Male,30 to 39
36,2,3,All the time,Sometimes,Turkish,Sometimes,Male,30 to 39
37,7,7,After coding,Yes,Turkish,Yes,Female,40 to 49
38,1,1,While coding,Yes,Cappuccino,Yes,Male,40 to 49
39,4,2,While coding,Yes,Turkish,No,Male,50 to 59
40,8,2,While coding,Sometimes,Turkish,No,Male,30 to 39
41,8,4,While coding,Sometimes,Turkish,Yes,Male,30 to 39
42,3,2,While coding,Sometimes,American Coffee,Sometimes,Female,30 to 39
44,3,2,After coding,Yes,Espresso (Short Black),Sometimes,Male,40 to 49
45,7,2,While coding,Sometimes,American Coffee,No,Female,18 to 29
46,2,1,While coding,Sometimes,Caffè latte,No,Female,18 to 29
47,9,1,In the morning,Yes,Nescafe,No,Female,18 to 29
48,8,2,Before coding,No,Nescafe,No,Female,18 to 29
49,6,1,Before coding,Yes,Nescafe,No,Male,30 to 39
50,6,1,Before coding,Yes,Nescafe,No,Male,30 to 39
51,8,3,While coding,Sometimes,American Coffee,Yes,Male,18 to 29
52,8,2,Before coding,Sometimes,American Coffee,Yes,Male,18 to 29
53,3,3,While coding,No,Turkish,No,Male,18 to 29
54,7,4,No specific time,Yes,Cappuccino,Sometimes,Male,18 to 29
55,4,7,Before and while coding,No,Double Espresso (Doppio),Sometimes,Male,18 to 29
56,6,4,While coding,Sometimes,Espresso (Short Black),Sometimes,Male,18 to 29
57,10,8,While coding,No,Turkish,Sometimes,Male,18 to 29
58,8,2,While coding,Sometimes,Turkish,No,Male,18 to 29
59,2,4,While coding,Sometimes,Cappuccino,Sometimes,Male,40 to 49
60,6,2,Before coding,Yes,Caffè latte,No,Male,18 to 29
61,7,4,While coding,No,American Coffee,Sometimes,Male,18 to 29
62,8,2,While coding,Sometimes,Turkish,Sometimes,Male,18 to 29
63,7,4,Before coding,No,Turkish,Yes,Male,18 to 29
64,8,4,While coding,No,American Coffee,Sometimes,Male,18 to 29
65,8,2,Before coding,Sometimes,American Coffee,Sometimes,Female,18 to 29
66,6,1,In the morning,Yes,Nescafe,No,Female,30 to 39
67,10,2,While coding,Sometimes,American Coffee,Yes,Male,18 to 29
68,8,4,Before and while coding,No,Turkish,Yes,Male,18 to 29
69,10,6,While coding,Sometimes,Double Espresso (Doppio),No,Male,30 to 39
70,6,4,While coding,Sometimes,Espresso (Short Black),Yes,Male,18 to 29
71,10,8,All the time,No,American Coffee,Yes,Male,18 to 29
72,5,5,While coding,Sometimes,American Coffee,Yes,Male,18 to 29
73,8,4,Before and while coding,Sometimes,Turkish,Sometimes,Male,30 to 39
74,4,2,While coding,No,Nescafe,Yes,Female,18 to 29
75,6,6,While coding,Sometimes,Cappuccino,No,Male,18 to 29
76,8,2,While coding,Sometimes,Nescafe,Sometimes,Male,30 to 39
77,9,3,While coding,Sometimes,Nescafe,Sometimes,Female,18 to 29
78,7,2,While coding,Sometimes,Caffè latte,No,Male,18 to 29
79,4,5,While coding,Sometimes,American Coffee,Yes,Male,18 to 29
80,2,1,While coding,Yes,Nescafe,No,Male,18 to 29
81,7,3,While coding,Sometimes,American Coffee,Sometimes,Female,18 to 29
82,6,3,While coding,Yes,Nescafe,Yes,Female,18 to 29
83,3,3,While coding,Sometimes,Caffè latte,Sometimes,Male,18 to 29
84,10,2,While coding,Yes,American Coffee,No,Male,18 to 29
85,10,3,While coding,Sometimes,American Coffee,Sometimes,Male,18 to 29
86,3,1,While coding,Sometimes,Nescafe,Sometimes,Male,18 to 29
87,3,3,While coding,Sometimes,American Coffee,Sometimes,Female,18 to 29
88,9,7,All the time,No,Espresso (Short Black),Yes,Male,18 to 29
89,10,1,Before coding,Sometimes,American Coffee,Sometimes,Male,18 to 29
90,7,1,Before coding,Sometimes,Cappuccino,Sometimes,Male,18 to 29
91,5,3,While coding,Sometimes,Turkish,Sometimes,Female,18 to 29
92,5,2,Before coding,Sometimes,Nescafe,Yes,Female,18 to 29
93,3,1,Before coding,Yes,Nescafe,No,Female,18 to 29
94,4,2,While coding,Yes,Nescafe,Sometimes,Male,18 to 29
95,6,2,Before coding,Yes,Nescafe,Yes,Male,18 to 29
96,4,1,Before coding,Sometimes,Nescafe,Sometimes,Female,18 to 29
97,10,3,Before coding,Yes,Cappuccino,Yes,Male,Under 18
98,2,2,While coding,Sometimes,Espresso (Short Black),Sometimes,Female,18 to 29
99,10,4,Before coding,Sometimes,Double Espresso (Doppio),Sometimes,Male,18 to 29
